"","UnlistEmol","Freq"
"1","",1
"2","(058%)",1
"3","(123%)según",1
"4","(2018)",1
"5","(spclxipsa)",1
"6","031%",1
"7","2018así",1
"8","2018entre",1
"9","24",1
"10","4",1
"11","543593",1
"12","805%",1
"13","83%",1
"14","a",1
"15","acciones",2
"16","acuerdo",1
"17","acumula",1
"18","ajuste",1
"19","al",3
"20","alza",2
"21","américa",1
"22","américas",1
"23","analistas",1
"24","anota",1
"25","anotó",1
"26","anual",1
"27","año",2
"28","años:",1
"29","araya",1
"30","argentina",1
"31","asiático",1
"32","b",1
"33","baja",1
"34","base",1
"35","bastante",1
"36","bolsa",2
"37","bolsonaro",1
"38","bursátil",1
"39","caída",1
"40","casi",1
"41","cayó",1
"42","chilenas",1
"43","china",1
"44","cierre",1
"45","cinco",1
"46","comercial",2
"47","comparación",1
"48","con",2
"49","consecutivael",1
"50","corredora",1
"51","crisis",1
"52","cuales",1
"53","cuando",1
"54","de",19
"55","décima",1
"56","del",3
"57","desaceleración",1
"58","desde",1
"59","designación",1
"60","diciembre",1
"61","dijo",1
"62","durante",1
"63","efecto",1
"64","el",6
"65","empresas",1
"66","en",5
"67","encadenar",1
"68","enel",1
"69","entre",2
"70","es",1
"71","espaldarazo",1
"72","esta",2
"73","estados",1
"74","están",2
"75","expectativas",2
"76","explican",1
"77","factores",1
"78","finalmente",1
"79","fmi",1
"80","frente",1
"81","fue",1
"82","fuerte",1
"83","general",1
"84","gerente",1
"85","gigante",1
"86","guedes",1
"87","guerra",2
"88","guillermo",1
"89","hacienda",1
"90","hasta",1
"91","hay",1
"92","historia",1
"93","histórica",1
"94","hoy",1
"95","incremento",1
"96","indicador",1
"97","índice",1
"98","ipsa",1
"99","jornada",1
"100","jornadanoticia",1
"101","la",8
"102","las",5
"103","latinaen",1
"104","libre",1
"105","llegue",1
"106","lo",1
"107","logró",1
"108","los",4
"109","manera",1
"110","más",2
"111","mayor",1
"112","mejores",2
"113","menor",1
"114","menores",1
"115","mercado",1
"116","mercados",1
"117","ministro",1
"118","mitad",1
"119","negociaciones",1
"120","pasado",3
"121","pasó",1
"122","paulo",1
"123","peor",1
"124","perdió",1
"125","perspectivas",1
"126","plaza",1
"127","poco",2
"128","por",2
"129","positiva",2
"130","preliminar",1
"131","principal",1
"132","pro",1
"133","puntos",1
"134","que",6
"135","quinta",1
"136","racha",2
"137","recuperó",1
"138","relacionadala",1
"139","renta",1
"140","santiago",2
"141","santiago-",1
"142","serie",1
"143","sesión",1
"144","sobre",1
"145","sqm",1
"146","su",4
"147","subida",1
"148","temores",1
"149","tenemos",1
"150","terminaron",1
"151","todo",2
"152","transadas",1
"153","tras",1
"154","última",1
"155","un",4
"156","una",4
"157","unidos",1
"158","varios",1
"159","vez",1
"160","visión",1
"161","volátil",1
"162","y",9
"163","ya",1
