"","ContarPalabras","Freq"
"1","",5
"2","$27300",1
"3","$6934",1
"4","018%",1
"5","069%",1
"6","14%",1
"7","1990",1
"8","2",1
"9","2013",1
"10","2017",1
"11","2018",2
"12","21%",1
"13","253%",1
"14","34%",1
"15","510543",1
"16","83%",1
"17","a",6
"18","aã±o",4
"19","aã±os",1
"20","acciones",2
"21","acotada",1
"22","aerolã­nea",1
"23","agrupa",1
"24","airlines",2
"25","al",3
"26","alza",1
"27","ã­ndice",1
"28","anotã³",2
"29","anual",1
"30","anuales",1
"31","ãºltimos",1
"32","aumento",1
"33","avance",2
"34","b",1
"35","bajas",2
"36","bolsa",3
"37","bolsas",1
"38","brasil",1
"39","bursã¡til",1
"40","caã­da",1
"41","cayeron",1
"42","cerrada",1
"43","chileno",1
"44","china",2
"45","cinco",1
"46","comercial",1
"47","con",3
"48","consecutiva",1
"49","consiguieron",1
"50","contraste",1
"51","crecimiento",1
"52","cuando",1
"53","dã­as",1
"54","de",24
"55","debido",1
"56","declive",1
"57","del",7
"58","dentro",1
"59","descenso",1
"60","desde",2
"61","desempeã±o",1
"62","diciembre",1
"63","dos",1
"64","durante",1
"65","economã­a",2
"66","efectos",1
"67","el",10
"68","en",11
"69","enero",1
"70","entre",2
"71","equivalente",1
"72","estados",1
"73","este",3
"74","festividad",1
"75","fin",1
"76","finalizã³",1
"77","forma",1
"78","formas",1
"79","fue",1
"80","fuerte",1
"81","global",2
"82","guerra",1
"83","ha",1
"84","hasta",1
"85","hundieron",1
"86","implicã³",1
"87","indicador",2
"88","ingreso",1
"89","ipsa",2
"90","jornada",2
"91","junto",1
"92","la",16
"93","lã­deres",1
"94","las",3
"95","latam",2
"96","latinoamã©rica",1
"97","litio",1
"98","los",7
"99","luego",1
"100","marca",1
"101","marginal",1
"102","mayor",3
"103","mercado",2
"104","miã©rcoles",1
"105","millonaria",1
"106","millones",1
"107","minera",2
"108","modesto",1
"109","mostraron",1
"110","mundo",1
"111","negocios",1
"112","no",2
"113","nunca",1
"114","obstante",1
"115","operã³",1
"116","operaciones",1
"117","papeles",2
"118","peor",1
"119","permanecerã¡",1
"120","pese",1
"121","peso",1
"122","plaza",1
"123","por",4
"124","porcentual",1
"125","preocupaciã³n",1
"126","presionada",1
"127","principal",1
"128","principales",1
"129","promedio",1
"130","puntos",1
"131","que",4
"132","registrã³",2
"133","registrado",1
"134","repuntar",1
"135","respecto",1
"136","retroceso",1
"137","santiago",2
"138","santiago-",1
"139","se",2
"140","serie",1
"141","sesiã³n",1
"142","sobre",1
"143","sqm",2
"144","su",3
"145","subasta",1
"146","sus",1
"147","tã­tulos",2
"148","temores",1
"149","tendrã¡",1
"150","terminã³",1
"151","tianqi",1
"152","todas",1
"153","un",7
"154","una",2
"155","unidad",1
"156","unidos",1
"157","us$1185",1
"158","viernes",1
"159","volã¡tiles",1
"160","volumen",1
"161","y",5
